iter	Logloss
0	0.6891286182
1	0.6851453277
2	0.6810515397
3	0.6773357515
4	0.6738073324
5	0.6702598299
6	0.667142889
7	0.6640742162
8	0.6611251892
9	0.6585387753
10	0.6560443535
11	0.6536240483
12	0.6513652841
13	0.6492013666
14	0.6471689871
15	0.6452846116
16	0.6431874598
17	0.641329595
18	0.639541591
19	0.63794475
20	0.6363628201
21	0.6346927695
22	0.6332291241
23	0.6319798789
24	0.6305855056
25	0.6292686822
26	0.6280532271
27	0.6268143522
28	0.6256587971
29	0.6245751732
30	0.6235244819
31	0.6225169166
32	0.6214345981
33	0.6204695516
34	0.6195647137
35	0.6186150788
36	0.6177947315
37	0.616944698
38	0.6161171735
39	0.6153689053
40	0.6146475241
41	0.6138870424
42	0.6131615594
43	0.6124493609
44	0.6117967772
45	0.6111224877
46	0.61043677
47	0.609838652
48	0.6092694106
49	0.6086604273
50	0.6080871347
51	0.6074694498
52	0.6069427233
53	0.6064602902
54	0.6059075286
55	0.6055040738
56	0.6050518477
57	0.6044960834
58	0.6040320108
59	0.6036089446
60	0.6031596273
61	0.6027577923
62	0.6023383567
63	0.6018334785
64	0.6013729937
65	0.6009301394
66	0.6005485564
67	0.600102049
68	0.5997791829
69	0.5993270387
70	0.5989713347
71	0.5985699935
72	0.5981525289
73	0.5977571412
74	0.5973526179
75	0.5970211925
76	0.596688375
77	0.5964227212
78	0.5960133421
79	0.5956987851
80	0.5953925404
81	0.5950002546
82	0.5946496964
83	0.5943312134
84	0.5939906133
85	0.5937231848
86	0.5933848863
87	0.5931095844
88	0.5928681907
89	0.5925779303
90	0.5922817125
91	0.5919646429
92	0.5917487939
93	0.5914766817
94	0.5911816774
95	0.5908712517
96	0.5905831719
97	0.5902950156
98	0.5900771913
99	0.5898266561
100	0.5896033715
101	0.589368507
102	0.5891925874
103	0.5888923885
104	0.5886437382
105	0.5883184931
106	0.5880956974
107	0.5878368785
108	0.5876253936
109	0.5873487832
110	0.5871054724
111	0.586854694
112	0.5866226742
113	0.5864245761
114	0.5861736847
115	0.5859606228
116	0.5857703416
117	0.5855511318
118	0.5853165171
119	0.585105737
120	0.584864487
121	0.5846698655
122	0.5844359368
123	0.5842601384
124	0.5841293123
125	0.5839909348
126	0.5837566422
127	0.583547722
128	0.5833776624
129	0.583167977
130	0.58299838
131	0.5828293415
132	0.5826298799
133	0.5824541307
134	0.5822360264
135	0.5820556934
136	0.5818694904
137	0.5817372084
138	0.5815763477
139	0.5814089484
140	0.5812822584
141	0.5810751911
142	0.5809260269
143	0.5807636432
144	0.5805353605
145	0.5803149434
146	0.5801536581
147	0.5800186107
148	0.5798651949
149	0.5796663392
150	0.579427588
151	0.5793014593
152	0.579133244
153	0.5789710826
154	0.5788189634
155	0.5786480403
156	0.578494234
157	0.5782981819
158	0.5781759993
159	0.5780188884
160	0.5778574013
161	0.5776784261
162	0.577522006
163	0.5773615007
164	0.5772657142
165	0.5771333869
166	0.5769622371
167	0.5767540163
168	0.5766103889
169	0.5763977027
170	0.5762729237
171	0.5761394268
172	0.5760309254
173	0.5758516947
174	0.5757071565
175	0.5755222363
176	0.5753678243
177	0.5752280767
178	0.5750623859
179	0.5749376536
180	0.5747378386
181	0.5746019233
182	0.5744384883
183	0.5743167715
184	0.5741160527
185	0.5739601272
186	0.5738629947
187	0.5736988318
188	0.5735553288
189	0.5734043706
190	0.57325732
191	0.573056668
192	0.572861028
193	0.5726950885
194	0.5725409624
195	0.5724122652
196	0.5722700784
197	0.5721492817
198	0.5719707251
199	0.5717907289
200	0.5716417149
201	0.5715191207
202	0.5713614377
203	0.5712228255
204	0.5711017079
205	0.570943273
206	0.5708139543
207	0.5707110095
208	0.570585511
209	0.5704383307
210	0.570332669
211	0.5702329162
212	0.5701201219
213	0.5700425684
214	0.5699641992
215	0.5698207027
216	0.5696930232
217	0.5695205935
218	0.5694259061
219	0.56930644
220	0.5691790696
221	0.5690481795
222	0.5689224298
223	0.5688016876
224	0.5686661623
225	0.5685404182
226	0.5684523163
227	0.5683156793
228	0.5682413387
229	0.5681874936
230	0.5680644607
231	0.567985805
232	0.5678680586
233	0.567730696
234	0.5675974585
235	0.5675338249
236	0.5674731392
237	0.567365271
238	0.5672199304
239	0.5671111638
240	0.5670086132
241	0.566933953
242	0.566787897
243	0.5666602195
244	0.5665452336
245	0.5664350568
246	0.5663472687
247	0.5662640273
248	0.5661246607
249	0.5659895512
250	0.5658478178
251	0.5657840486
252	0.5656983413
253	0.5655438441
254	0.5654073944
255	0.5653002174
256	0.5652333108
257	0.5651459328
258	0.5650080982
259	0.564890361
260	0.5647615099
261	0.564657334
262	0.5645388902
263	0.564409772
264	0.5642897416
265	0.5642024437
266	0.5641299176
267	0.564018674
268	0.5638991473
269	0.5637661924
270	0.5636770053
271	0.5635353714
272	0.5634270167
273	0.5633363467
274	0.5632161575
275	0.563111457
276	0.563000661
277	0.5629100437
278	0.5628221599
279	0.5626978465
280	0.5625105152
281	0.5624047296
282	0.5623579453
283	0.5622009592
284	0.5620834995
285	0.5619434271
286	0.561798419
287	0.5617039012
288	0.561554352
289	0.5614307779
290	0.5613499006
291	0.5612561972
292	0.5611709259
293	0.5610406841
294	0.560978152
295	0.5608710897
296	0.5608220629
297	0.5607475111
298	0.5606536981
299	0.5605237545
